codCliente,codPoliza,Ramo,Y,Salud,Vida,Autos,Cumplimiento,Patrimoniales,Otros
133309,132119,Vida,Salud,0,1,0,0,0,0
133312,132129,Vida,Patrimoniales,0,1,0,0,0,0
133313,132131,Salud,Autos,1,0,0,0,0,0
133314,132550,Salud,Vida,1,0,0,0,0,0
133315,132137,Autos,Salud,0,0,1,0,0,0
133333,132176,Autos,Salud,0,0,1,0,0,0
133340,132203,Autos,Salud,0,0,1,0,0,0
133343,132199,Vida,Salud,0,1,0,0,0,0
133352,132314,Patrimoniales,Autos,0,0,0,0,1,0
133365,132041,Autos,Vida,0,0,1,0,0,0
133367,132276,Salud,Vida,1,0,0,0,0,0
133378,132307,Patrimoniales,Salud,0,0,0,0,1,0
133387,132321,Salud,Autos,1,0,0,0,0,0
133393,132100,Autos,Vida,0,0,1,0,0,0
133406,132359,Salud,Vida,1,0,0,0,0,0
133420,132386,Vida,Salud,0,1,0,0,0,0
133433,132410,Salud,Autos,1,0,0,0,0,0
133434,132401,Patrimoniales,Vida,0,0,0,0,1,0
133447,142159,Salud,Vida,1,0,0,0,0,0
133451,132673,Vida,Salud,0,1,0,0,0,0
133453,132089,Autos,Salud,0,0,1,0,0,0
133456,132458,Salud,Autos,1,0,0,0,0,0
133456,132080,Autos,Vida,1,0,1,0,0,0
133459,132471,Salud,Patrimoniales,1,0,0,0,0,0
133477,131974,Autos,Patrimoniales,0,0,1,0,0,0
133477,132328,Patrimoniales,Salud,0,0,1,0,1,0
133478,132338,Patrimoniales,Autos,0,0,0,0,1,0
133479,132598,Salud,Autos,1,0,0,0,0,0
133479,132190,Autos,Patrimoniales,1,0,1,0,0,0
133496,132060,Autos,Patrimoniales,0,0,1,0,0,0
133517,132177,Autos,Vida,0,0,1,0,0,0
133532,132681,Vida,Autos,0,1,0,0,0,0
133532,132227,Autos,Salud,0,1,1,0,0,0
133533,132228,Autos,Salud,0,0,1,0,0,0
133585,132271,Cumplimiento,Patrimoniales,0,0,0,1,0,0
133605,132335,Patrimoniales,Vida,0,0,0,0,1,0
133619,132560,Salud,Autos,1,0,0,0,0,0
133625,133498,Autos,Salud,0,0,1,0,0,0
133625,132463,Salud,Vida,1,0,1,0,0,0
133682,142158,Autos,Salud,0,0,1,0,0,0
133701,132604,Vida,Autos,0,1,0,0,0,0
133718,132630,Vida,Salud,0,1,0,0,0,0
133720,132644,Vida,Autos,0,1,0,0,0,0
133750,133136,Cumplimiento,Patrimoniales,0,0,0,1,0,0
133764,133163,Vida,Patrimoniales,0,1,0,0,0,0
133766,133166,Cumplimiento,Patrimoniales,0,0,0,1,0,0
134070,133517,Cumplimiento,Patrimoniales,0,0,0,1,0,0
134094,177180,Salud,Vida,1,0,0,0,0,0
134121,173641,Autos,Patrimoniales,0,0,1,0,0,0
134123,133684,Patrimoniales,Vida,0,0,0,0,1,0
134124,133670,Patrimoniales,Salud,0,0,0,0,1,0
134124,199878,Salud,Vida,1,0,0,0,1,0
134125,133673,Patrimoniales,Vida,0,0,0,0,1,0
134136,134638,Salud,Patrimoniales,1,0,0,0,0,0
134138,175299,Salud,Vida,1,0,0,0,0,0
134144,133689,Autos,Salud,0,0,1,0,0,0
134775,134327,Cumplimiento,Patrimoniales,0,0,0,1,0,0
134780,134346,Cumplimiento,Patrimoniales,0,0,0,1,0,0
134797,134558,Cumplimiento,Patrimoniales,0,0,0,1,0,0
135183,134572,Patrimoniales,Salud,0,0,0,0,1,0
135186,134577,Patrimoniales,Autos,0,0,0,0,1,0
135192,134583,Otros,Vida,0,0,0,0,0,1
135195,134590,Salud,Vida,1,0,0,0,0,0
135202,134599,Salud,Autos,1,0,0,0,0,0
135206,134604,Vida,Salud,0,1,0,0,0,0
137713,187571,Autos,Vida,0,0,1,0,0,0
137714,134928,Cumplimiento,Patrimoniales,0,0,0,1,0,0
137756,135163,Cumplimiento,Patrimoniales,0,0,0,1,0,0
137813,188157,Cumplimiento,Patrimoniales,0,0,0,1,0,0
137863,158144,Autos,Patrimoniales,0,0,1,0,0,0
137869,135347,Cumplimiento,Vida,0,0,0,1,0,0
137877,135367,Salud,Vida,1,0,0,0,0,0
137935,135624,Salud,Patrimoniales,1,0,0,0,0,0
137971,152172,Vida,Cumplimiento,0,1,0,0,0,0
137971,135645,Cumplimiento,Patrimoniales,0,1,0,1,0,0
138124,136127,Vida,Autos,0,1,0,0,0,0
138128,135826,Salud,Patrimoniales,1,0,0,0,0,0
138129,136112,Vida,Patrimoniales,0,1,0,0,0,0
138131,135694,Patrimoniales,Salud,0,0,0,0,1,0
138135,136169,Patrimoniales,Salud,0,0,0,0,1,0
138135,135839,Salud,Autos,1,0,0,0,1,0
138136,136228,Autos,Salud,0,0,1,0,0,0
138136,135705,Salud,Patrimoniales,1,0,1,0,0,0
138139,135922,Autos,Vida,0,0,1,0,0,0
138139,136132,Vida,Salud,0,1,1,0,0,0
138147,135713,Salud,Autos,1,0,0,0,0,0
138147,141391,Autos,Patrimoniales,1,0,1,0,0,0
138149,135715,Salud,Autos,1,0,0,0,0,0
138160,135726,Salud,Autos,1,0,0,0,0,0
138166,135733,Salud,Autos,1,0,0,0,0,0
138173,135740,Vida,Salud,0,1,0,0,0,0
138177,136103,Vida,Salud,0,1,0,0,0,0
138179,135749,Vida,Autos,0,1,0,0,0,0
138183,135926,Autos,Salud,0,0,1,0,0,0
138183,135754,Salud,Vida,1,0,1,0,0,0
138184,135758,Vida,Salud,0,1,0,0,0,0
138184,135756,Salud,Autos,1,1,0,0,0,0
138188,136056,Patrimoniales,Vida,0,0,0,0,1,0
138190,135765,Vida,Salud,0,1,0,0,0,0
138191,135766,Vida,Salud,0,1,0,0,0,0
138192,136133,Vida,Salud,0,1,0,0,0,0
138192,136093,Salud,Autos,1,1,0,0,0,0
138192,172976,Autos,Patrimoniales,1,1,1,0,0,0
138193,135770,Vida,Salud,0,1,0,0,0,0
138194,135772,Vida,Salud,0,1,0,0,0,0
138196,136201,Autos,Salud,0,0,1,0,0,0
138198,198805,Autos,Salud,0,0,1,0,0,0
138206,135929,Patrimoniales,Salud,0,0,0,0,1,0
138208,135787,Vida,Autos,0,1,0,0,0,0
138210,136102,Vida,Autos,0,1,0,0,0,0
138216,135795,Salud,Autos,1,0,0,0,0,0
138222,136091,Salud,Vida,1,0,0,0,0,0
138223,135802,Salud,Patrimoniales,1,0,0,0,0,0
138249,135831,Salud,Vida,1,0,0,0,0,0
138255,136046,Autos,Patrimoniales,0,0,1,0,0,0
138255,135925,Patrimoniales,Salud,0,0,1,0,1,0
138255,135838,Salud,Vida,1,0,1,0,1,0
138258,136174,Patrimoniales,Autos,0,0,0,0,1,0
138261,135847,Salud,Autos,1,0,0,0,0,0
138263,135849,Salud,Patrimoniales,1,0,0,0,0,0
138268,135854,Salud,Autos,1,0,0,0,0,0
138272,135861,Autos,Salud,0,0,1,0,0,0
138278,135868,Autos,Vida,0,0,1,0,0,0
138287,136098,Vida,Patrimoniales,0,1,0,0,0,0
138287,136063,Patrimoniales,Salud,0,1,0,0,1,0
