codCliente,codPoliza,Edad,Ramo,Y,Salud,Vida,Autos,Cumplimiento,Patrimoniales,Otros
109065,90303,57,Patrimoniales,Salud,0,0,0,0,1,0
109067,90394,56,Salud,Vida,1,0,0,0,0,0
109071,91061,50,Autos,Vida,0,0,1,0,0,0
109073,90466,50,Vida,Salud,0,1,0,0,0,0
109076,90320,55,Patrimoniales,Salud,0,0,0,0,1,0
109081,90543,49,Vida,Salud,0,1,0,0,0,0
109089,90397,40,Salud,Patrimoniales,1,0,0,0,0,0
109092,141773,43,Autos,Vida,0,0,1,0,0,0
109099,90390,42,Salud,Vida,1,0,0,0,0,0
109104,90157,74,Autos,Patrimoniales,0,0,1,0,0,0
109104,199558,74,Patrimoniales,Salud,0,0,1,0,1,0
109107,90463,70,Vida,Autos,0,1,0,0,0,0
109108,90357,68,Salud,Autos,1,0,0,0,0,0
109142,90286,63,Patrimoniales,Autos,0,0,0,0,1,0
109148,90459,71,Vida,Salud,0,1,0,0,0,0
109149,90580,59,Vida,Patrimoniales,0,1,0,0,0,0
109168,90365,46,Salud,Autos,1,0,0,0,0,0
109176,199566,61,Autos,Salud,0,0,1,0,0,0
109190,90293,58,Cumplimiento,Vida,0,0,0,1,0,0
109190,90522,58,Vida,Autos,0,1,0,1,0,0
109221,199565,49,Salud,Patrimoniales,1,0,0,0,0,0
109221,90345,49,Patrimoniales,Autos,1,0,0,0,1,0
109229,90446,61,Salud,Patrimoniales,1,0,0,0,0,0
109230,199574,0,Autos,Vida,0,0,1,0,0,0
109230,90482,0,Vida,Salud,0,1,1,0,0,0
109243,90516,44,Vida,Salud,0,1,0,0,0,0
109247,90158,78,Autos,Salud,0,0,1,0,0,0
109252,90564,55,Vida,Autos,0,1,0,0,0,0
109252,90188,55,Autos,Salud,0,1,1,0,0,0
109292,90289,38,Patrimoniales,Salud,0,0,0,0,1,0
109373,158316,45,Patrimoniales,Vida,0,0,0,0,1,0
109404,90682,23,Vida,Patrimoniales,0,1,0,0,0,0
109537,90995,28,Salud,Vida,1,0,0,0,0,0
109693,91135,56,Patrimoniales,Autos,0,0,0,0,1,0
109749,91307,34,Salud,Vida,1,0,0,0,0,0
109759,209527,65,Vida,Salud,0,1,0,0,0,0
109767,91351,34,Salud,Vida,1,0,0,0,0,0
109768,91352,53,Vida,Patrimoniales,0,1,0,0,0,0
109768,108162,53,Patrimoniales,Cumplimiento,0,1,0,0,1,0
111002,95036,42,Vida,Cumplimiento,0,1,0,0,0,0
111103,96018,53,Autos,Vida,0,0,1,0,0,0
111183,96181,36,Patrimoniales,Vida,0,0,0,0,1,0
111183,96509,36,Vida,Autos,0,1,0,0,1,0
111187,96184,31,Salud,Autos,1,0,0,0,0,0
111194,96194,46,Cumplimiento,Patrimoniales,0,0,0,1,0,0
111222,96486,29,Salud,Patrimoniales,1,0,0,0,0,0
111227,96506,35,Patrimoniales,Salud,0,0,0,0,1,0
111334,127739,59,Autos,Salud,0,0,1,0,0,0
111335,127772,47,Autos,Salud,0,0,1,0,0,0
111355,127731,0,Autos,Salud,0,0,1,0,0,0
111374,98391,0,Salud,Autos,1,0,0,0,0,0
111379,127700,36,Autos,Vida,0,0,1,0,0,0
111379,98687,36,Vida,Salud,0,1,1,0,0,0
111382,98527,32,Vida,Autos,0,1,0,0,0,0
111382,96789,32,Autos,Salud,0,1,1,0,0,0
111402,127687,37,Salud,Patrimoniales,1,0,0,0,0,0
111402,98061,37,Patrimoniales,Vida,1,0,0,0,1,0
111402,98506,37,Vida,Autos,1,1,0,0,1,0
111403,127756,27,Autos,Salud,0,0,1,0,0,0
111403,98227,27,Salud,Vida,1,0,1,0,0,0
111409,98382,57,Vida,Autos,0,1,0,0,0,0
111409,169737,57,Autos,Salud,0,1,1,0,0,0
111430,97046,44,Autos,Vida,0,0,1,0,0,0
111455,96889,49,Salud,Vida,1,0,0,0,0,0
111480,96911,28,Vida,Autos,0,1,0,0,0,0
111493,96928,39,Vida,Salud,0,1,0,0,0,0
111648,152077,74,Autos,Patrimoniales,0,0,1,0,0,0
111651,100704,48,Patrimoniales,Autos,0,0,0,0,1,0
111657,98389,80,Vida,Autos,0,1,0,0,0,0
111662,98535,38,Vida,Salud,0,1,0,0,0,0
111663,98353,29,Vida,Autos,0,1,0,0,0,0
111663,97112,29,Autos,Salud,0,1,1,0,0,0
111668,97758,51,Autos,Salud,0,0,1,0,0,0
111685,98468,43,Vida,Autos,0,1,0,0,0,0
111687,97174,54,Autos,Salud,0,0,1,0,0,0
111692,158483,0,Autos,Vida,0,0,1,0,0,0
111693,158462,40,Autos,Patrimoniales,0,0,1,0,0,0
111703,98419,38,Vida,Autos,0,1,0,0,0,0
111708,98619,0,Vida,Patrimoniales,0,1,0,0,0,0
111708,97198,0,Patrimoniales,Autos,0,1,0,0,1,0
111714,97241,40,Patrimoniales,Vida,0,0,0,0,1,0
111715,97253,46,Autos,Salud,0,0,1,0,0,0
111717,98622,45,Vida,Salud,0,1,0,0,0,0
111718,98254,35,Salud,Vida,1,0,0,0,0,0
111718,98480,35,Vida,Patrimoniales,1,1,0,0,0,0
111720,98427,41,Vida,Autos,0,1,0,0,0,0
111720,153851,41,Autos,Salud,0,1,1,0,0,0
111722,98459,49,Vida,Patrimoniales,0,1,0,0,0,0
111724,98435,35,Vida,Salud,0,1,0,0,0,0
111724,98212,35,Salud,Autos,1,1,0,0,0,0
111734,98536,35,Vida,Salud,0,1,0,0,0,0
111734,98209,35,Salud,Autos,1,1,0,0,0,0
111739,98700,39,Vida,Salud,0,1,0,0,0,0
111741,158485,0,Autos,Salud,0,0,1,0,0,0
111742,172940,73,Autos,Patrimoniales,0,0,1,0,0,0
111745,161281,42,Autos,Patrimoniales,0,0,1,0,0,0
111746,98748,44,Salud,Vida,1,0,0,0,0,0
111747,98559,31,Vida,Autos,0,1,0,0,0,0
111748,97869,34,Autos,Vida,0,0,1,0,0,0
111750,97170,36,Autos,Salud,0,0,1,0,0,0
111757,97128,35,Autos,Patrimoniales,0,0,1,0,0,0
111763,97086,42,Autos,Salud,0,0,1,0,0,0
111771,98198,35,Salud,Autos,1,0,0,0,0,0
111782,98286,62,Salud,Autos,1,0,0,0,0,0
111790,98282,66,Salud,Patrimoniales,1,0,0,0,0,0
111800,98477,32,Vida,Salud,0,1,0,0,0,0
111800,98308,32,Salud,Autos,1,1,0,0,0,0
111804,98441,70,Vida,Autos,0,1,0,0,0,0
111808,98231,42,Salud,Patrimoniales,1,0,0,0,0,0
111808,97156,42,Patrimoniales,Vida,1,0,0,0,1,0
111815,97171,34,Autos,Salud,0,0,1,0,0,0
111815,139325,34,Salud,Vida,1,0,1,0,0,0
111818,98554,35,Vida,Salud,0,1,0,0,0,0
111826,98331,41,Salud,Autos,1,0,0,0,0,0
111830,98538,37,Vida,Autos,0,1,0,0,0,0
111830,97147,37,Autos,Patrimoniales,0,1,1,0,0,0
111830,98185,37,Patrimoniales,Salud,0,1,1,0,1,0
111989,170389,25,Vida,Salud,0,1,0,0,0,0
111989,98151,25,Salud,Patrimoniales,1,1,0,0,0,0
112025,158495,25,Autos,Salud,0,0,1,0,0,0
112062,98440,63,Vida,Autos,0,1,0,0,0,0
112070,98017,37,Cumplimiento,Salud,0,0,0,1,0,0
112097,158477,0,Autos,Salud,0,0,1,0,0,0
112104,98351,35,Salud,Vida,1,0,0,0,0,0
112119,98242,33,Salud,Patrimoniales,1,0,0,0,0,0
112164,98482,38,Vida,Patrimoniales,0,1,0,0,0,0
112198,98290,34,Salud,Autos,1,0,0,0,0,0
112225,98229,35,Salud,Patrimoniales,1,0,0,0,0,0
112278,98111,37,Salud,Autos,1,0,0,0,0,0
112283,98566,35,Vida,Autos,0,1,0,0,0,0
112283,97813,35,Autos,Salud,0,1,1,0,0,0
112286,98737,33,Vida,Salud,0,1,0,0,0,0
112301,98141,26,Salud,Vida,1,0,0,0,0,0
112307,98291,38,Salud,Autos,1,0,0,0,0,0
112326,98204,38,Salud,Vida,1,0,0,0,0,0
112329,98472,37,Vida,Autos,0,1,0,0,0,0
112332,98540,36,Vida,Autos,0,1,0,0,0,0
112332,97851,36,Autos,Salud,0,1,1,0,0,0
112334,98457,36,Vida,Patrimoniales,0,1,0,0,0,0
112334,98062,36,Patrimoniales,Autos,0,1,0,0,1,0
112338,98230,35,Salud,Vida,1,0,0,0,0,0
112339,98484,35,Vida,Salud,0,1,0,0,0,0
112340,133243,35,Autos,Vida,0,0,1,0,0,0
112341,98278,34,Salud,Vida,1,0,0,0,0,0
112343,98630,34,Vida,Salud,0,1,0,0,0,0
112353,98133,0,Salud,Autos,1,0,0,0,0,0
112365,98359,30,Salud,Vida,1,0,0,0,0,0
112368,97874,30,Autos,Salud,0,0,1,0,0,0
112394,98462,37,Vida,Salud,0,1,0,0,0,0
112408,97754,36,Autos,Vida,0,0,1,0,0,0
112408,98555,36,Vida,Salud,0,1,1,0,0,0
